Customer ID,Login Freq,subscription plan,MonthlyPayment,Usage hours,Support Tickets,Spending Category
196,7,basic,247,4,1,LOW
197,22,PREMIUM,1304,58,7,HIGH
198,20,Premium,1131,52,7,High
199,20,Premium,1278,65,3,hIGH
200,13,null,571,21,1,mEDIUM
201,2,Basic,240,8,1,Low
202,13,STANDARD,582,19,1,MEDIUM
203,19,PREMIUM,1222,47,3,High
204,11,sTANDARD,487,25,2,MEDIUM
205,21,PREMIUM,1183,57,6,HIGH
206,15,PREMIUM,1287,51,5,HIGH
207,6,Basic,218,9,1,lOW
208,18,premium,1181,47,4,HIGH
209,17,Premium,1301,60,5,High
210,18,Premium,1404,62,4,hIGH
211,11,sTANDARD,529,18,1,Medium
212,14,standard,485,24,2,medium
213,19,premium,1117,49,7,High
214,14,Standard,521,19,1,Medium
215,11,Standard,604,25,1,mEDIUM
216,15,Premium,1127,43,5,High
217,4,BASIC,209,6,1,lOW
218,8,sTANDARD,480,22,2,medium
219,11,Standard,507,26,1,medium
220,5,NaN,227,9,1,Low
221,19,Premium,1119,67,7,high
222,19,PREMIUM,1260,58,5,hIGH
223,17,PREMIUM,1225,43,3,High
224,17,PREMIUM,1277,64,6,hIGH
225,9,STANDARD,603,24,2,Medium
226,12,standard,565,19,1,medium
227,9,null,505,25,1,Medium
228,2,bASIC,218,9,0,Low
229,9,Standard,542,26,1,Medium
230,2,Basic,210,7,1,LOW
231,9,standard,561,26,1,Medium
232,14,Standard,568,22,1,mEDIUM
233,18,Premium,1192,66,3,hIGH
234,10,STANDARD,578,25,2,MEDIUM
235,3,bASIC,207,5,1,Low
236,3,bASIC,247,8,0,lOW
237,13,standard,587,22,1,medium
238,15,premium,1391,52,5,hIGH
239,13,Standard,604,21,2,mEDIUM
240,22,PREMIUM,1243,51,6,HIGH
241,8,sTANDARD,573,24,1,MEDIUM
242,22,PREMIUM,1340,51,7,hIGH
243,20,PREMIUM,1271,65,7,high
244,12,STANDARD,505,26,1,mEDIUM
245,3,BASIC,226,8,1,lOW
246,8,sTANDARD,548,18,1,MEDIUM
247,12,Standard,490,26,2,Medium
248,21,PREMIUM,1184,59,5,HIGH
249,21,pREMIUM,1379,69,5,HIGH
250,7,bASIC,235,8,0,low
251,8,STANDARD,492,18,2,mEDIUM
252,7,BASIC,207,5,0,lOW
253,9,standard,481,23,1,MEDIUM
254,11,Standard,515,22,1,medium
255,13,sTANDARD,600,24,2,Medium
256,22,null,1129,54,6,hIGH
257,2,BASIC,229,8,1,LOW
258,6,bASIC,215,7,1,LOW
259,16,Premium,1336,43,3,HIGH
260,17,pREMIUM,1279,64,4,HIGH
261,21,pREMIUM,1441,69,7,HIGH
262,9,STANDARD,514,25,2,MEDIUM
263,8,STANDARD,545,19,1,MEDIUM
264,3,Basic,224,8,1,lOW
265,13,standard,604,21,1,Medium
266,12,sTANDARD,504,21,1,mEDIUM
267,7,bASIC,219,5,0,low
268,9,standard,539,24,1,medium
269,3,basic,210,5,0,lOW
270,4,BASIC,220,4,1,LOW
271,5,basic,203,4,0,lOW
272,14,standard,542,22,2,MEDIUM
273,18,Premium,1113,48,7,HIGH
274,10,standard,558,22,2,MEDIUM
275,6,Basic,225,5,0,Low
276,4,basic,248,7,0,Low
277,13,sTANDARD,513,21,2,MEDIUM
278,7,Basic,241,8,1,Low
279,2,bASIC,200,5,1,Low
280,5,basic,210,5,1,LOW
281,22,pREMIUM,1272,60,7,hIGH
282,2,Basic,222,6,0,
283,3,basic,230,9,1,lOW
284,17,PREMIUM,1360,46,4,high
285,22,Premium,1355,49,3,null
286,11,Standard,557,26,1,MEDIUM
287,12,STANDARD,570,25,2,Medium
288,10,STANDARD,489,18,2,medium
289,11,STANDARD,593,23,2,mEDIUM
290,8,STANDARD,599,22,1,mEDIUM
291,3,Basic,220,8,1,LOW
292,21,Premium,1335,52,5,HIGH
293,12,standard,506,19,1,medium
294,10,standard,576,25,1,MEDIUM
295,18,PREMIUM,1380,46,4,hIGH
296,15,PREMIUM,1203,44,4,high
297,14,Standard,545,26,2,NaN
298,13,STANDARD,491,18,2,Medium
299,22,Premium,1342,64,5,HIGH
300,13,STANDARD,516,23,1,NaN
301,6,basic,219,4,0,lOW
302,3,BASIC,203,9,1,LOW
303,15,PREMIUM,1418,55,5,hIGH
304,12,Standard,579,20,2,mEDIUM
305,3,basic,248,6,1,low
306,2,bASIC,216,9,1,lOW
307,20,PREMIUM,1223,52,3,hIGH
308,9,STANDARD,482,18,2,MEDIUM
309,4,BASIC,218,5,0,LOW
310,5,bASIC,248,8,1,Low
311,14,Standard,518,19,1,mEDIUM
312,13,sTANDARD,539,26,1,null
313,13,standard,565,24,1,mEDIUM
314,14,STANDARD,585,26,1,mEDIUM
315,18,Premium,1437,67,5,High
316,20,pREMIUM,1226,56,4,hIGH
317,19,Premium,1253,53,3,HIGH
318,16,Premium,1404,60,5,High
319,2,basic,249,8,1,LOW
320,2,BASIC,223,8,0,lOW
321,8,STANDARD,496,19,2,MEDIUM
322,3,BASIC,221,4,1,LOW
323,20,premium,1175,65,6,HIGH
324,6,bASIC,219,5,0,null
325,7,Basic,227,9,0,Low
326,3,bASIC,224,9,0,lOW
327,14,STANDARD,502,26,1,medium
328,11,Standard,520,21,1,mEDIUM
329,9,sTANDARD,521,21,2,MEDIUM
330,17,null,1213,52,3,High
331,19,pREMIUM,1359,47,5,High
332,6,BASIC,220,9,0,lOW
333,21,Premium,1227,68,7,high
334,9,Standard,605,22,1,mEDIUM
335,13,STANDARD,539,26,1,medium
336,13,sTANDARD,555,22,2,MEDIUM
337,8,standard,530,19,2,Medium
338,6,basic,243,6,1,low
339,9,Standard,526,24,2,mEDIUM
340,22,PREMIUM,1290,44,6,High
341,4,bASIC,245,7,1,lOW
342,3,basic,232,9,0,low
343,13,STANDARD,579,22,2,medium
344,18,PREMIUM,1380,49,4,high
345,10,sTANDARD,498,26,2,Medium
346,18,premium,1220,69,5,hIGH
347,5,Basic,239,4,1,lOW
348,10,standard,532,20,1,null
349,8,sTANDARD,604,23,1,medium
350,8,sTANDARD,491,20,1,MEDIUM
351,5,Basic,236,6,1,Low
352,15,premium,1315,42,7,high
353,14,STANDARD,494,26,1,mEDIUM
354,20,premium,1375,66,7,hIGH
355,11,STANDARD,546,23,2,mEDIUM
356,7,NaN,205,9,0,null
357,18,premium,1192,54,3,hIGH
358,6,Basic,237,4,1,LOW
359,3,Basic,238,8,0,lOW
360,8,Standard,488,25,1,Medium
361,21,,1282,50,7,high
362,12,standard,480,25,2,mEDIUM
363,5,BASIC,247,4,0,low
364,4,null,245,9,0,low
365,11,Standard,606,21,2,medium
366,2,basic,211,5,0,Low
367,3,Basic,201,6,0,LOW
368,2,bASIC,238,7,0,LOW
369,10,Standard,573,25,2,Medium
370,6,Basic,214,5,0,LOW
371,22,PREMIUM,1393,69,7,high
372,15,PREMIUM,1221,69,6,hIGH
373,15,pREMIUM,1162,64,5,hIGH
374,3,bASIC,227,8,0,Low
375,19,pREMIUM,1301,69,4,high
376,10,sTANDARD,528,18,2,Medium
377,8,Standard,510,21,1,
378,17,null,1144,45,4,HIGH
379,16,premium,1361,68,7,High
380,6,basic,241,7,0,low
381,2,basic,228,8,0,LOW
382,11,Standard,548,22,1,Medium
383,21,premium,1141,43,7,HIGH
384,5,Basic,210,7,0,lOW
385,3,Basic,210,7,0,Low
386,8,,498,22,1,mEDIUM
387,10,standard,543,22,2,MEDIUM
388,7,Basic,210,7,0,lOW
389,8,sTANDARD,594,20,2,mEDIUM
390,21,Premium,1349,45,5,HIGH
391,22,Premium,1348,60,4,high
392,21,premium,1338,45,7,hIGH
393,2,bASIC,216,4,0,lOW
394,19,null,1112,56,7,high
395,10,STANDARD,546,23,2,mEDIUM
396,8,,514,25,2,MEDIUM
397,8,Standard,550,24,1,mEDIUM
398,6,bASIC,239,8,1,Low
399,14,STANDARD,583,24,1,MEDIUM
400,20,PREMIUM,1174,44,5,hIGH
401,6,bASIC,218,6,1,LOW
402,11,STANDARD,581,19,2,Medium
403,14,STANDARD,599,24,1,Medium
404,2,Basic,229,8,0,low
405,14,sTANDARD,560,24,1,MEDIUM
406,11,STANDARD,593,19,2,mEDIUM
407,14,STANDARD,483,24,2,mEDIUM
408,9,Standard,606,26,2,medium
409,3,Basic,217,9,1,low
410,12,standard,600,26,1,medium
411,14,STANDARD,530,20,1,mEDIUM
412,3,Basic,222,5,0,lOW
413,14,standard,502,22,1,Medium
414,15,pREMIUM,1380,50,7,high
415,6,Basic,247,7,1,low
416,10,Standard,584,24,1,MEDIUM
417,8,STANDARD,552,23,1,mEDIUM
418,19,pREMIUM,1336,43,3,hIGH
419,11,STANDARD,507,25,2,Medium
420,19,Premium,1412,58,4,hIGH
421,6,Basic,237,5,1,
422,20,pREMIUM,1116,53,6,High
423,13,sTANDARD,544,21,1,mEDIUM
424,11,STANDARD,506,23,1,medium
425,7,Basic,206,8,0,low
426,11,Standard,495,22,2,medium
427,22,pREMIUM,1324,64,3,hIGH
428,19,pREMIUM,1256,43,4,High
429,11,standard,569,25,1,Medium
430,21,Premium,1387,69,3,high
431,3,Basic,224,5,0,low
432,21,PREMIUM,1420,58,6,hIGH
433,15,null,1273,59,4,HIGH
434,8,Standard,494,22,2,MEDIUM
435,13,STANDARD,525,20,2,Medium
436,2,BASIC,247,6,0,low
437,5,bASIC,234,7,1,lOW
438,19,premium,1188,59,5,NaN
439,19,Premium,1158,70,4,high
440,14,sTANDARD,487,25,2,mEDIUM
441,15,PREMIUM,1286,61,4,NaN
442,5,basic,227,5,0,Low
443,14,standard,570,23,1,Medium
444,3,bASIC,235,4,1,low
445,6,bASIC,206,4,0,lOW
446,4,BASIC,225,9,0,Low
447,16,Premium,1423,42,4,HIGH
448,16,,1414,52,3,High
449,2,bASIC,228,7,0,low
450,10,standard,588,24,1,medium
451,11,STANDARD,502,21,1,mEDIUM
452,22,PREMIUM,1202,55,6,High
453,19,pREMIUM,1294,56,5,high
454,11,null,546,19,1,medium
455,7,Basic,240,4,0,lOW
456,14,Standard,582,23,1,
457,10,STANDARD,566,19,2,Medium
458,8,standard,605,23,2,mEDIUM
459,2,basic,215,6,0,LOW
460,20,pREMIUM,1108,58,5,HIGH
461,15,PREMIUM,1222,62,7,High
462,2,basic,223,5,1,lOW
463,21,Premium,1266,70,3,HIGH
464,7,Basic,205,7,1,low
465,19,premium,1282,42,3,HIGH
466,8,sTANDARD,562,21,1,MEDIUM
467,5,basic,223,6,0,LOW
468,19,pREMIUM,1292,46,5,HIGH
469,10,standard,559,26,2,mEDIUM
470,10,standard,536,22,2,MEDIUM
471,17,pREMIUM,1278,59,6,hIGH
472,12,sTANDARD,554,22,1,Medium
473,12,Standard,597,25,1,MEDIUM
474,12,standard,602,19,2,medium
475,14,standard,558,24,2,medium
476,3,bASIC,209,4,0,LOW
477,13,STANDARD,537,22,2,Medium
478,2,basic,226,4,1,low
479,22,PREMIUM,1101,69,4,HIGH
480,19,Premium,1329,61,5,HIGH
481,21,PREMIUM,1421,62,4,high
482,2,basic,231,9,0,null
483,4,Basic,225,4,1,low
484,4,BASIC,221,7,1,Low
485,5,bASIC,206,4,0,low
486,7,BASIC,241,9,1,Low
487,10,standard,564,26,2,medium
488,16,premium,1347,69,3,High
489,2,bASIC,222,7,0,
490,10,STANDARD,540,19,1,MEDIUM
491,14,standard,561,23,1,mEDIUM
492,10,sTANDARD,581,18,1,medium
493,8,Standard,552,23,1,medium
494,12,Standard,561,25,1,MEDIUM
495,9,sTANDARD,593,22,1,MEDIUM
496,16,PREMIUM,1284,54,6,hIGH
497,15,Premium,1410,44,4,High
498,6,Basic,248,5,1,LOW
499,17,pREMIUM,1168,42,6,hIGH
500,6,basic,223,4,0,LOW
